Node Name,Mass
XNEG.1,0.0108
XNEG.10,0.0108
XNEG.11,0.0108
XNEG.12,0.0108
XNEG.13,0.0108
XNEG.14,0.0108
XNEG.15,0.0108
XNEG.16,0.0108
XNEG.17,0.0108
XNEG.18,0.0108
XNEG.19,0.0108
XNEG.2,0.0108
XNEG.20,0.0108
XNEG.21,0.0108
XNEG.22,0.0108
XNEG.23,0.0108
XNEG.24,0.0108
XNEG.25,0.0108
XNEG.3,0.0108
XNEG.4,0.0108
XNEG.5,0.0108
XNEG.6,0.0108
XNEG.7,0.0108
XNEG.8,0.0108
XNEG.9,0.0108
XPOS.1,0.0108
XPOS.10,0.0108
XPOS.11,0.0108
XPOS.12,0.0108
XPOS.13,0.0108
XPOS.14,0.0108
XPOS.15,0.0108
XPOS.16,0.0108
XPOS.17,0.0108
XPOS.18,0.0108
XPOS.19,0.0108
XPOS.2,0.0108
XPOS.20,0.0108
XPOS.21,0.0108
XPOS.22,0.0108
XPOS.23,0.0108
XPOS.24,0.0108
XPOS.25,0.0108
XPOS.3,0.0108
XPOS.4,0.0108
XPOS.5,0.0108
XPOS.6,0.0108
XPOS.7,0.0108
XPOS.8,0.0108
XPOS.9,0.0108
YNEG.1,0.0108
YNEG.10,0.0108
YNEG.11,0.0108
YNEG.12,0.0108
YNEG.13,0.0108
YNEG.14,0.0108
YNEG.15,0.0108
YNEG.16,0.0108
YNEG.17,0.0108
YNEG.18,0.0108
YNEG.19,0.0108
YNEG.2,0.0108
YNEG.20,0.0108
YNEG.21,0.0108
YNEG.22,0.0108
YNEG.23,0.0108
YNEG.24,0.0108
YNEG.25,0.0108
YNEG.3,0.0108
YNEG.4,0.0108
YNEG.5,0.0108
YNEG.6,0.0108
YNEG.7,0.0108
YNEG.8,0.0108
YNEG.9,0.0108
YPOS.1,0.0108
YPOS.10,0.0108
YPOS.11,0.0108
YPOS.12,0.0108
YPOS.13,0.0108
YPOS.14,0.0108
YPOS.15,0.0108
YPOS.16,0.0108
YPOS.17,0.0108
YPOS.18,0.0108
YPOS.19,0.0108
YPOS.2,0.0108
YPOS.20,0.0108
YPOS.21,0.0108
YPOS.22,0.0108
YPOS.23,0.0108
YPOS.24,0.0108
YPOS.25,0.0108
YPOS.3,0.0108
YPOS.4,0.0108
YPOS.5,0.0108
YPOS.6,0.0108
YPOS.7,0.0108
YPOS.8,0.0108
YPOS.9,0.0108
ZNEG.1,0.0054
ZNEG.10,0.0054
ZNEG.11,0.0054
ZNEG.12,0.0054
ZNEG.13,0.0054
ZNEG.14,0.0054
ZNEG.15,0.0054
ZNEG.16,0.0054
ZNEG.17,0.0054
ZNEG.18,0.0054
ZNEG.19,0.0054
ZNEG.2,0.0054
ZNEG.20,0.0054
ZNEG.21,0.0054
ZNEG.22,0.0054
ZNEG.23,0.0054
ZNEG.24,0.0054
ZNEG.25,0.0054
ZNEG.3,0.0054
ZNEG.4,0.0054
ZNEG.5,0.0054
ZNEG.6,0.0054
ZNEG.7,0.0054
ZNEG.8,0.0054
ZNEG.9,0.0054
ZPOS.1,0.0054
ZPOS.10,0.0054
ZPOS.11,0.0054
ZPOS.12,0.0054
ZPOS.13,0.0054
ZPOS.14,0.0054
ZPOS.15,0.0054
ZPOS.16,0.0054
ZPOS.17,0.0054
ZPOS.18,0.0054
ZPOS.19,0.0054
ZPOS.2,0.0054
ZPOS.20,0.0054
ZPOS.21,0.0054
ZPOS.22,0.0054
ZPOS.23,0.0054
ZPOS.24,0.0054
ZPOS.25,0.0054
ZPOS.3,0.0054
ZPOS.4,0.0054
ZPOS.5,0.0054
ZPOS.6,0.0054
ZPOS.7,0.0054
ZPOS.8,0.0054
ZPOS.9,0.0054
